TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,Latitude,Longitude,Location
91492,DPW Maintained,Prunus cerasifera :: Cherry Plum,1748 Clay St,2.0,Sidewalk: Curb side : Cutout,37.792360349007005,-122.42177387986646,"(37.792360349007005, -122.42177387986646)"
117177,DPW Maintained,Prunus cerasifera :: Cherry Plum,763 Naples St,1.0,Sidewalk: Curb side : Cutout,37.71671791118437,-122.43425075107672,"(37.71671791118437, -122.43425075107672)"
43703,DPW Maintained,Prunus cerasifera :: Cherry Plum,132 Funston Ave,1.0,Sidewalk: Curb side : Cutout,37.78569122573522,-122.47204307931092,"(37.78569122573522, -122.47204307931092)"
23901,DPW Maintained,Prunus cerasifera :: Cherry Plum,1600X Webster St,4.0,Median : Cutout,37.78536838156699,-122.43127222753346,"(37.78536838156699, -122.43127222753346)"
84281,Permitted Site,Prunus cerasifera :: Cherry Plum,1 Alpha St,2.0,Sidewalk: Curb side : Cutout,37.715999417407495,-122.40203856906848,"(37.715999417407495, -122.40203856906847)"
68879,Permitted Site,Prunus cerasifera :: Cherry Plum,1741 08th Ave,1.0,Sidewalk: Curb side : Cutout,37.75584849982943,-122.46475661409644,"(37.75584849982943, -122.46475661409643)"
236665,DPW Maintained,Prunus cerasifera :: Cherry Plum,640 Corbett Ave,3.0,Sidewalk: Curb side : Cutout,37.75646423234159,-122.4434919964548,"(37.75646423234159, -122.44349199645481)"
115889,DPW Maintained,Prunus cerasifera :: Cherry Plum,2126 Hayes St,3.0,Sidewalk: Curb side : Cutout,37.77329466479746,-122.45157771146448,"(37.77329466479746, -122.45157771146448)"
218028,DPW Maintained,Prunus cerasifera :: Cherry Plum,2391 12th Ave,1.0,Sidewalk: Curb side : Cutout,37.7436520561123,-122.468190288254,"(37.7436520561123, -122.46819028825401)"
178763,DPW Maintained,Prunus cerasifera :: Cherry Plum,68 San Gabriel Ave,1.0,Sidewalk: Curb side : Cutout,37.7287618937336,-122.43863433901888,"(37.7287618937336, -122.43863433901889)"
39172,Permitted Site,Prunus cerasifera 'Atropurpurea' :: Purple-Leaf Plum,736 South Van Ness Ave,1.0,Sidewalk: Curb side : Cutout,37.761361427437954,-122.41721115239925,"(37.761361427437954, -122.41721115239923)"
214341,DPW Maintained,Prunus domestica 'Mariposa' :: Mariposa Plum,144 Montana St,1.0,Sidewalk: Curb side : Cutout,37.71667546408335,-122.45752175943149,"(37.71667546408335, -122.45752175943149)"
65077,Permitted Site,Prunus cerasifera :: Cherry Plum,2472 Harrison St,1.0,Sidewalk: Curb side : Cutout,37.757870739614376,-122.41248043525474,"(37.757870739614376, -122.41248043525474)"
235975,DPW Maintained,Prunus cerasifera :: Cherry Plum,281 Church St,1.0,Sidewalk: Curb side : Cutout,37.76645707984889,-122.42873986746868,"(37.76645707984889, -122.42873986746868)"
236858,DPW Maintained,Prunus cerasifera :: Cherry Plum,1490 Willard St,2.0,Sidewalk: Curb side : Cutout,37.76276359839668,-122.4539405187454,"(37.76276359839668, -122.45394051874541)"
237588,DPW Maintained,Prunus cerasifera :: Cherry Plum,4558 18th St,1.0,Sidewalk: Curb side : Cutout,37.76063759567933,-122.44025694890227,"(37.76063759567933, -122.44025694890229)"
64796,Permitted Site,Prunus cerasifera :: Cherry Plum,625 27th St,1.0,Sidewalk: Curb side : Cutout,37.74640060048325,-122.43432588963722,"(37.74640060048325, -122.43432588963722)"
97807,DPW Maintained,Prunus cerasifera :: Cherry Plum,1440 Broadway,3.0,Sidewalk: Curb side : Cutout,37.79617608340192,-122.42069215642498,"(37.796176083401924, -122.42069215642498)"
42839,DPW Maintained,Prunus cerasifera :: Cherry Plum,1167 Filbert St,1.0,Sidewalk: Curb side : Cutout,37.80012628984085,-122.4187035728151,"(37.80012628984085, -122.4187035728151)"
217961,DPW Maintained,Prunus cerasifera :: Cherry Plum,2675 16th Ave,1.0,Sidewalk: Curb side : Cutout,37.73810172370775,-122.47221624909676,"(37.73810172370775, -122.47221624909676)"
110827,Undocumented,Prunus cerasifera 'Krauter vesuvius' :: Purple Leaf Plum Krauter Vesuvius,1X WELSH ST,11.0,Sidewalk: Curb side : Cutout,37.7790306545162,-122.39718109463156,"(37.7790306545162, -122.39718109463155)"
217873,DPW Maintained,Prunus cerasifera :: Cherry Plum,89 Edgewood Ave,2.0,Sidewalk: Curb side : Cutout,37.76283131192962,-122.45487580108411,"(37.762831311929624, -122.45487580108413)"
60527,Permitted Site,Prunus cerasifera :: Cherry Plum,476 Duncan St,1.0,Sidewalk: Curb side : Cutout,37.745934126876,-122.43075038832151,"(37.745934126876, -122.43075038832151)"
185750,DPW Maintained,Prunus cerasifera :: Cherry Plum,1820 Rivera St,4.0,Sidewalk: Curb side : Cutout,37.74642431871664,-122.48593255353931,"(37.74642431871664, -122.48593255353931)"
67813,Permitted Site,Prunus cerasifera :: Cherry Plum,953 Sanchez St,1.0,Sidewalk: Curb side : Cutout,37.75387829400346,-122.42978670111552,"(37.75387829400346, -122.42978670111553)"
102377,DPW Maintained,Prunus cerasifera :: Cherry Plum,870 39th Ave,2.0,Sidewalk: Curb side : Cutout,37.772711988721866,-122.49916995510868,"(37.772711988721866, -122.49916995510867)"
